postcode,lat,lon
DA110QF,51.43773,0.36728
DA110RB,51.43733,0.34948
DA117BT,51.43341,0.35643
DA117JB,51.42457,0.35496
DA117JF,51.42557,0.35645
DA117LS,51.42845,0.36137
DA118AQ,51.42894,0.34084
DA118BG,51.43343,0.34242
DA118BY,51.43291,0.32932
DA118EL,51.42518,0.33842
DA119HB,51.44514,0.33102
DA119JQ,51.44189,0.34280
DA119JS,51.44238,0.34921
DA119PL,51.43915,0.34335
DA119QZ,51.43978,0.33688
DA11QE,51.43621,0.23560
DA11SQ,51.44197,0.22821
DA121LU,51.43800,0.37549
DA122JW,51.43325,0.38568
DA122PR,51.43708,0.38386
DA122RL,51.44124,0.37834
DA122SY,51.43655,0.38673
DA123BN,51.39034,0.40236
DA123DU,51.41525,0.43173
DA124BN,51.42301,0.39245
DA124DJ,51.42921,0.39276
DA124JG,51.43059,0.39223
DA124LF,51.42220,0.39861
DA124SD,51.41980,0.38994
DA125HN,51.42769,0.37513
DA125JT,51.41852,0.37542
DA125TY,51.41183,0.38391
DA12HW,51.44516,0.20547
DA12HX,51.44681,0.20823
DA12LP,51.44323,0.21126
DA12LY,51.44095,0.21063
DA12NT,51.44340,0.20351
DA12SW,51.43381,0.21187
DA130AH,51.36891,0.35974
DA130JW,51.37506,0.35953
DA130RF,51.34052,0.34523
DA130RL,51.33088,0.35864
DA139HG,51.40284,0.34707
DA139NR,51.41622,0.31978
DA13DZ,51.44713,0.20228
DA13NG,51.44561,0.18972
DA144ED,51.43193,0.10581
DA144JN,51.42880,0.11962
DA144PX,51.43064,0.12933
DA145AA,51.41206,0.11122
DA145BU,51.41948,0.11937
DA145ED,51.42035,0.11829
DA146LW,51.42071,0.11048
DA14DZ,51.45396,0.17201
DA14RS,51.45517,0.18305
DA14RW,51.45448,0.17724
DA157JG,51.43080,0.09096
DA158JU,51.44627,0.09576
DA158QW,51.44793,0.09293
DA159AG,51.43579,0.10778
DA159AW,51.43887,0.11213
DA159DA,51.43766,0.10082
DA159DB,51.43713,0.10148
DA159DD,51.44063,0.10629
DA159DP,51.44153,0.10333
DA159JQ,51.44695,0.11176
DA159NU,51.44928,0.11107
DA15AF,51.45246,0.20632
DA15EA,51.45064,0.23240
DA15GB,51.46305,0.23029
DA15ND,51.45281,0.22996
DA15TF,51.45993,0.22393
DA161DR,51.47392,0.11910
DA161JB,51.46113,0.12240
DA161LB,51.46923,0.11192
DA161LS,51.46936,0.12148
DA161PN,51.46308,0.12157
DA162BH,51.45738,0.10879
DA162BL,51.45650,0.10705
DA162ET,51.46181,0.10268
DA162PE,51.45782,0.08833
DA162QE,51.45979,0.08740
DA162ST,51.46401,0.08415
DA163BP,51.46918,0.10024
DA163QG,51.46415,0.10402
DA175HP,51.49008,0.14372
DA175PF,51.47948,0.13414
DA176AA,51.49104,0.15968
DA176DW,51.48929,0.15454
DA176HB,51.48395,0.15030
DA176HT,51.48525,0.16068
DA184BA,51.49500,0.13221
DA184DP,51.49356,0.13459
DA184DW,51.49643,0.13323
DA184HN,51.49297,0.13791
DA26BA,51.44326,0.24586
DA26DW,51.44364,0.24117
DA26JX,51.43469,0.24657
DA27BB,51.43086,0.19357
DA27DA,51.42859,0.19214
DA27DF,51.42728,0.19800
DA27DR,51.42859,0.19214
DA27NE,51.42575,0.17438
DA27UZ,51.43127,0.17394
DA28AW,51.42523,0.28543
DA28DH,51.41559,0.26403
DA37PH,51.39535,0.30964
DA37PW,51.39435,0.31765
DA38BL,51.38557,0.30672
DA38BT,51.38339,0.30306
DA38JT,51.36786,0.30606
DA38JZ,51.37262,0.30492
DA38NA,51.37708,0.28058
DA40AA,51.36938,0.21349
DA49BN,51.39422,0.24402
DA49EX,51.41158,0.23514
DA51HH,51.44938,0.13501
DA51NE,51.44656,0.15075
DA52JD,51.42767,0.17760
DA53AJ,51.44098,0.12602
DA53JR,51.43949,0.13821
DA67AB,51.45023,0.13975
DA67DA,51.45955,0.14524
DA67QB,51.45269,0.15520
DA67QJ,51.45478,0.15423
DA68EQ,51.45897,0.12722
DA74DG,51.46165,0.13696
DA74HL,51.45917,0.14902
DA74PH,51.46679,0.13929
DA74SL,51.46685,0.12917
DA74UN,51.46414,0.12710
DA75BS,51.46872,0.15248
DA76EQ,51.45688,0.16669
DA76LB,51.45525,0.16793
DA76QP,51.46908,0.17110
DA81JE,51.47353,0.15662
DA81LE,51.47290,0.14895
DA82EL,51.47313,0.19095
DA82HX,51.47187,0.19060
DA83BN,51.47423,0.16616
DA83DG,51.47810,0.17277
DA83HQ,51.47627,0.16286
DA83NL,51.46976,0.16173
DA83PB,51.47140,0.17033
DA83PR,51.47099,0.18218
DA99EF,51.44236,0.26128
DA99RF,51.44885,0.28878
DE110BD,52.77976,-1.55903
DE110BU,52.78049,-1.55748
DE110EG,52.78193,-1.56203
DE110QA,52.77808,-1.56587
DE110SW,52.77887,-1.57938
DE110TJ,52.78725,-1.57823
DE110TL,52.77973,-1.56110
DE110TR,52.78464,-1.58106
DE110TW,52.78460,-1.57950
DE117EA,52.76723,-1.53143
DE117ES,52.78477,-1.51783
DE117JR,52.77569,-1.53813
DE117LA,52.78037,-1.54208
DE118AB,52.76037,-1.51192
DE118HA,52.75786,-1.55313
DE118JZ,52.77560,-1.55295
DE119EY,52.76766,-1.56518
DE119NP,52.76138,-1.56243
DE11GJ,52.92417,-1.49417
DE11LR,52.92101,-1.49059
DE126EX,52.74659,-1.51632
DE126LU,52.73812,-1.55957
DE126QA,52.74482,-1.58871
DE127AH,52.68200,-1.53352
DE127DB,52.68103,-1.49018
DE127LG,52.70593,-1.50506
DE127LQ,52.70492,-1.50124
DE127QF,52.72454,-1.52307
DE127RE,52.71314,-1.51865
DE128BZ,52.71270,-1.57744
DE128HE,52.73528,-1.63799
DE128JW,52.74739,-1.63916
DE128NL,52.75835,-1.67809
DE12LF,52.92714,-1.47312
DE12RJ,52.91739,-1.46610
DE130AJ,52.83227,-1.65386
DE130AS,52.83067,-1.64960
DE130HB,52.83212,-1.64088
DE130HE,52.83724,-1.62111
DE130LL,52.82976,-1.64105
DE130SW,52.82153,-1.64144
DE130UF,52.81857,-1.64976
DE137EF,52.73097,-1.74679
DE137JE,52.74745,-1.82278
DE138AZ,52.76483,-1.72076
DE138DS,52.76340,-1.71450
DE138EU,52.75968,-1.71835
DE138NF,52.76977,-1.79179
DE138SU,52.82373,-1.80287
DE139AG,52.84606,-1.64684
DE139NR,52.85587,-1.68394
DE139QD,52.82403,-1.68793
DE139RW,52.80361,-1.73257
DE139SA,52.79131,-1.69819
DE139TQ,52.81058,-1.68639
DE13LB,52.92671,-1.48606
DE13LR,52.92706,-1.48625
DE13PJ,52.92955,-1.49005
DE13TQ,52.92822,-1.47292
DE141SN,52.81023,-1.62623
DE142BB,52.80837,-1.65802
DE142HU,52.81205,-1.64612
DE142LU,52.81210,-1.63923
DE142PJ,52.81437,-1.64896
DE142RE,52.81717,-1.63324
DE142SG,52.82315,-1.63407
DE143DR,52.78734,-1.65913
DE143EX,52.78748,-1.66927
DE143LG,52.79890,-1.64321
DE143TE,52.80147,-1.64158
DE150DH,52.80918,-1.59732
DE150EZ,52.80524,-1.60066
DE150HR,52.80905,-1.60193
DE150JE,52.80531,-1.61332
DE150JL,52.80749,-1.61279
DE150SF,52.82800,-1.58459
DE159ES,52.79109,-1.61802
DE159HR,52.78640,-1.63191
DE159NX,52.78514,-1.62055
DE159RT,52.79006,-1.61637
DE159SD,52.78701,-1.61613
DE159TJ,52.77732,-1.60514
DE212RQ,52.94359,-1.43214
DE214ET,52.94146,-1.44760
DE214EW,52.94329,-1.45128
DE214HG,52.93629,-1.44622
DE214LY,52.93455,-1.43171
DE214QX,52.93435,-1.42442
DE214RJ,52.93280,-1.42937
DE215AB,52.97075,-1.45875
DE215BR,52.99667,-1.44057
DE215LF,52.95280,-1.44868
DE216AL,52.92972,-1.45793
DE216BT,52.93604,-1.45862
DE216JW,52.92811,-1.42452
DE216NU,52.92716,-1.43849
DE216TZ,52.91871,-1.43180
DE216WL,52.92226,-1.42489
DE217AB,52.92283,-1.41141
DE217BT,52.92177,-1.41287
DE217LL,52.92068,-1.40934
DE217PH,52.91181,-1.39291
DE217QW,52.92075,-1.39636
DE221AU,52.93734,-1.48690
DE221EF,52.94446,-1.48024
DE221HL,52.93311,-1.49145
DE221JD,52.94330,-1.48593
DE222GL,52.95293,-1.49120
DE222HE,52.95507,-1.49344
DE222LW,52.95425,-1.50020
DE222QR,52.94242,-1.49515
DE223BH,52.92893,-1.50078
DE223FS,52.92610,-1.49499
DE223HH,52.91261,-1.49517
DE223HU,52.91673,-1.50134
DE223QB,52.91899,-1.48455
DE223WA,52.91367,-1.49185
DE224BS,52.92549,-1.51543
DE224EQ,52.93100,-1.52605
DE225JA,52.96373,-1.50477
DE231GA,52.89150,-1.50225
DE231GG,52.89437,-1.50364
DE232FS,52.89472,-1.51398
DE233ES,52.89941,-1.51407
DE233UQ,52.89263,-1.51734
DE233UX,52.89170,-1.51825
DE234BZ,52.89944,-1.52739
DE236FZ,52.90523,-1.50818
DE236NL,52.90652,-1.48823
DE236QP,52.90675,-1.47944
DE236SB,52.91399,-1.48023
DE236TJ,52.91085,-1.48662
DE236WR,52.91133,-1.48207
DE238DF,52.89870,-1.48399
DE238DG,52.89741,-1.48989
DE238EG,52.91416,-1.47318
DE238FQ,52.91106,-1.46931
DE238GP,52.90816,-1.47766
DE238PE,52.90116,-1.47689
DE238PN,52.90293,-1.47412
DE238QJ,52.90427,-1.47947
DE240AN,52.88973,-1.44309
DE240BR,52.88217,-1.43734
DE240BT,52.88624,-1.43549
DE240DD,52.88842,-1.43202
DE240EP,52.89328,-1.43377
DE240GZ,52.89030,-1.42945
DE240PA,52.89826,-1.42224
DE240PU,52.89459,-1.42052
DE243AR,52.87534,-1.49172
DE243BW,52.87385,-1.50247
DE243HF,52.87176,-1.48854
DE245AX,52.88053,-1.41071
DE248BY,52.91045,-1.45243
DE248FT,52.89638,-1.45959
DE248PU,52.91436,-1.45920
DE248TE,52.89951,-1.43975
DE248UY,52.90399,-1.44440
DE249AX,52.88982,-1.45445
DE249BB,52.88830,-1.45443
DE249EJ,52.88045,-1.44967
DE249HG,52.88516,-1.48210
DE249LU,52.88277,-1.49168
DE249PG,52.87973,-1.48779
DE30BW,52.90215,-1.54227
DE30EY,52.90906,-1.54713
DE30QE,52.91186,-1.55195
DE39AY,52.90881,-1.51977
DE39AZ,52.91088,-1.52395
DE39HE,52.91490,-1.53648
DE39LL,52.91811,-1.53086
DE42AE,53.11997,-1.58227
DE42BW,53.14504,-1.66774
DE42DH,53.14211,-1.63956
DE42ED,53.18837,-1.61682
DE42GL,53.16409,-1.60288
DE42JT,53.14991,-1.59988
DE42LX,53.17528,-1.63980
DE42QB,53.15814,-1.57776
DE43DD,53.12948,-1.55259
DE43DS,53.14005,-1.54544
DE43FT,53.14196,-1.54309
DE43HX,53.14356,-1.55811
DE43LA,53.14563,-1.56308
DE43PW,53.11672,-1.56223
DE43RG,53.10694,-1.56156
DE44DE,53.07763,-1.62572
DE44DX,53.07882,-1.57148
DE44FD,53.08250,-1.56630
DE44FG,53.08398,-1.57113
DE44HB,53.08471,-1.65473
DE44LQ,53.09873,-1.58706
DE451BX,53.21411,-1.67561
DE451FR,53.20663,-1.67884
DE451JA,53.20529,-1.68255
DE451JH,53.19529,-1.77408
DE451RZ,53.24840,-1.62050
DE451TZ,53.24299,-1.70377
DE451UF,53.23485,-1.64053
DE451WN,53.17679,-1.68219
DE45DF,53.08397,-1.47762
DE45DG,53.08548,-1.47846
DE45EF,53.08476,-1.49904
DE45FG,53.13471,-1.51832
DE45JP,53.10938,-1.51928
DE45NA,53.14679,-1.53586
DE53BD,53.05040,-1.39702
DE53HE,53.04698,-1.41241
DE53JQ,53.04346,-1.39238
DE53PN,53.04434,-1.40943
DE53RY,53.04420,-1.41234
DE53SE,53.05419,-1.41171
DE551AE,53.07419,-1.39698
DE551AR,53.07379,-1.38858
DE551BZ,53.07307,-1.40371
DE552BS,53.10862,-1.34246
DE552DA,53.10557,-1.33489
DE552ER,53.10063,-1.33253
DE552JB,53.10348,-1.34142
DE554BW,53.06989,-1.36434
DE554EW,53.07064,-1.36783
DE554JE,53.07822,-1.36795
DE554LY,53.08052,-1.36991
DE555AF,53.12023,-1.37020
DE555JG,53.12080,-1.35168
DE555LZ,53.13873,-1.36072
DE555PB,53.13729,-1.35026
DE555PP,53.14457,-1.34011
DE555TL,53.12923,-1.33837
DE556BH,53.12002,-1.40125
DE556DQ,53.11574,-1.44661
DE556FH,53.14850,-1.44979
DE556GG,53.13412,-1.41635
DE556HH,53.13657,-1.38655
DE556JY,53.13160,-1.38568
DE557AL,53.09485,-1.39645
DE557BW,53.09521,-1.38753
DE557EN,53.10095,-1.38398
DE557FF,53.10058,-1.38475
DE557HA,53.09435,-1.37335
DE557JA,53.09439,-1.38602
DE557NJ,53.09592,-1.43632
DE560DA,53.02481,-1.45489
DE560LA,53.00920,-1.43490
DE560QH,53.00332,-1.48290
DE560TE,52.99778,-1.45833
DE560TW,53.00414,-1.45795
DE561DR,53.02721,-1.48414
DE561GY,53.03009,-1.47130
DE561HA,53.02732,-1.46361
DE561SH,53.01702,-1.46943
DE562AL,53.05127,-1.45190
DE562FQ,53.07261,-1.46964
DE562GN,53.05616,-1.48069
DE562JD,53.03068,-1.48170
DE562LH,53.01598,-1.55707
DE564EB,52.99065,-1.49012
DE564GS,52.98579,-1.49102
DE564GT,52.98631,-1.49823
DE58NE,53.03217,-1.42673
DE58NP,53.01905,-1.42599
DE58PH,53.01388,-1.40983
DE59QD,53.04315,-1.37657
DE59TD,53.04102,-1.38703
DE61AS,53.01213,-1.74467
DE61EJ,53.01983,-1.72824
DE61EP,53.02141,-1.72923
DE61JJ,53.05138,-1.68680
DE61LD,53.04801,-1.74218
DE61LW,52.99126,-1.70399
DE61NB,53.00238,-1.73253
DE61PG,53.01083,-1.66803
DE61QJ,53.08690,-1.72351
DE62AZ,53.05515,-1.80053
DE62EG,52.96820,-1.80519
DE62FF,52.93888,-1.80032
DE62GJ,53.00214,-1.75257
DE63BY,52.97311,-1.62193
DE63DR,52.93550,-1.67593
DE63FS,53.02115,-1.62011
DE63LD,53.04801,-1.60141
DE64LQ,52.94078,-1.57088
DE64PL,52.98466,-1.57779
DE655AS,52.89952,-1.69369
DE655EQ,52.86731,-1.68347
DE655GH,52.87199,-1.63437
DE656AR,52.86474,-1.54164
DE656DN,52.85249,-1.55405
DE656GN,52.83738,-1.54207
DE656HP,52.84935,-1.60442
DE656LU,52.88444,-1.60258
DE656NB,52.88135,-1.60249
DE65BJ,52.93968,-1.62925
DE65BY,52.85245,-1.76906
DE65HZ,52.88457,-1.76266
DE65JY,52.90300,-1.82004
DE722GR,52.87125,-1.36050
DE722HX,52.84852,-1.39930
DE722UH,52.86282,-1.38599
DE723EG,52.89676,-1.31199
DE723HF,52.90968,-1.38069
DE723NH,52.89595,-1.34314
DE723SF,52.92008,-1.36800
DE723SU,52.91858,-1.30952
DE735NY,52.86901,-1.44689
DE735UB,52.86644,-1.43908
DE736PZ,52.87107,-1.43652
DE736TA,52.87072,-1.43501
DE737HA,52.85350,-1.48168
DE738AN,52.80254,-1.39961
DE738JE,52.82717,-1.42646
DE742DA,52.83598,-1.28242
DE742LH,52.84047,-1.33832
DE742LN,52.83973,-1.33779
DE742QD,52.81835,-1.32878
DE742QU,52.84260,-1.34221
DE742RB,52.84706,-1.32474
DE74DB,52.95734,-1.30498
DE74GZ,52.95379,-1.31838
DE74HH,52.96388,-1.32216
DE74HX,52.96278,-1.32823
DE74LF,52.96489,-1.31155
DE74LT,52.96254,-1.30366
DE74NH,52.95950,-1.32210
DE757BZ,53.00653,-1.35299
DE757EQ,53.00861,-1.35087
DE757FS,53.01669,-1.36404
DE757GQ,53.01146,-1.36145
DE757HJ,53.01202,-1.33627
DE757HS,53.01056,-1.34142
DE757NF,53.00853,-1.34375
DE757RA,53.01104,-1.37094
DE757RT,53.02306,-1.37559
DE75DR,52.96880,-1.29761
DE75HS,52.97183,-1.31582
DE75JH,52.97437,-1.30449
DE75LN,52.97177,-1.30446
DE75PA,52.96512,-1.29938
DE76AT,52.99960,-1.41107
DE76BT,52.98292,-1.35402
DE76DF,52.96980,-1.41587
DE76EF,52.99650,-1.39399
DE76FB,52.96089,-1.37658
DE76FS,52.97580,-1.38104
DE76GU,52.96768,-1.36538
DE78DX,52.98065,-1.31137
DE78LQ,52.98260,-1.31112
DE78PF,52.98864,-1.30605
DE78QZ,52.99007,-1.30568
DE78RR,52.99206,-1.31186
DH11PH,54.78256,-1.54765
DH12AG,54.78393,-1.52532
DH12AQ,54.78396,-1.52169
DH12EY,54.77622,-1.54953
DH12HZ,54.77946,-1.54411
DH12JQ,54.77899,-1.54632
DH12PN,54.75466,-1.54037
DH12TX,54.78771,-1.51845
DH13DQ,54.77155,-1.57176
DH14JG,54.77149,-1.59641
DH14NG,54.78414,-1.58663
DH14QB,54.77206,-1.58707
DH14SU,54.77977,-1.59686
DH15BG,54.79550,-1.58652
DH15BQ,54.79718,-1.58519
DH15LP,54.79631,-1.57556
DH15LZ,54.79921,-1.57976
DH15WB,54.79046,-1.58688
DH15XT,54.79761,-1.56571
DH21EZ,54.87330,-1.60342
DH21NP,54.86646,-1.62443
DH21QX,54.88212,-1.59840
DH21RQ,54.88448,-1.60174
DH22DP,54.85376,-1.58391
DH22JT,54.86237,-1.58493
DH23AA,54.85082,-1.58410
DH23AD,54.85059,-1.59234
DH23PF,54.82421,-1.60109
DH31LU,54.90015,-1.57857
DH31QQ,54.90685,-1.57529
DH32DJ,54.88425,-1.57175
DH32LP,54.89427,-1.57216
DH32LY,54.88763,-1.56822
DH32PN,54.89380,-1.57616
DH33NA,54.84921,-1.57139
DH33PH,54.85193,-1.56870
DH33PZ,54.85546,-1.57231
DH33QA,54.85540,-1.57019
DH34JJ,54.83709,-1.54074
DH34JL,54.83990,-1.54345
DH44EE,54.85354,-1.47671
DH44QP,54.86618,-1.49200
DH45BH,54.84086,-1.47495
DH45HB,54.84584,-1.47766
DH46AR,54.84798,-1.51462
DH46HF,54.85658,-1.51562
DH46HL,54.84260,-1.50042
DH46RN,54.81215,-1.50920
DH47HY,54.87719,-1.49683
DH47JZ,54.87046,-1.49872
DH47RT,54.87244,-1.49176
DH50AH,54.81506,-1.45148
DH50JT,54.80728,-1.43303
DH58AE,54.84250,-1.46498
DH58DA,54.84089,-1.46561
DH58EH,54.83934,-1.45691
DH58NF,54.83408,-1.47226
DH59AJ,54.82946,-1.45132
DH59JZ,54.81789,-1.46031
DH59ND,54.81716,-1.45855
DH59RA,54.82353,-1.48181
DH61AF,54.79026,-1.48995
DH61DU,54.77729,-1.50298
DH61LZ,54.76555,-1.44244
DH61QD,54.79118,-1.45566
DH62JP,54.76411,-1.38868
DH62JQ,54.76625,-1.40133
DH62TJ,54.79872,-1.41042
DH63DZ,54.75343,-1.43522
DH63NR,54.74542,-1.41834
DH63RQ,54.74312,-1.42052
DH64EJ,54.71073,-1.50973
DH64PG,54.72079,-1.47174
DH64RA,54.73350,-1.47369
DH70AG,54.82621,-1.70802
DH70HU,54.82376,-1.74540
DH70JG,54.82430,-1.74744
DH70RD,54.82843,-1.74696
DH76AB,54.82185,-1.62962
DH76DU,54.83735,-1.63275
DH76LQ,54.81646,-1.62745
DH76TF,54.80619,-1.63907
DH77AU,54.78615,-1.63167
DH77EU,54.77092,-1.65057
DH77LF,54.77753,-1.64369
DH77NG,54.78159,-1.63767
DH78HX,54.74726,-1.61814
DH78JJ,54.75549,-1.61377
DH78LL,54.76005,-1.61061
DH78NL,54.75056,-1.62923
DH79BE,54.76720,-1.70751
DH79QR,54.79117,-1.69379
DH79QY,54.79036,-1.69555
DH79XN,54.79676,-1.67233
DH80ES,54.87222,-1.85569
DH80JX,54.86283,-1.85323
DH80QB,54.89341,-1.83912
DH86AF,54.85426,-1.82962
DH86AY,54.85611,-1.82461
DH86BH,54.85869,-1.82309
DH86LN,54.85526,-1.83133
DH86LZ,54.85762,-1.82974
DH86QN,54.88435,-1.81420
DH87ES,54.84652,-1.82452
DH87RH,54.85714,-1.80446
DH87SN,54.86076,-1.79795
DH88AP,54.84721,-1.85707
DH88AX,54.84538,-1.85812
DH88EQ,54.83862,-1.87388
DH88JD,54.85758,-1.85770
DH89JN,54.90898,-1.88747
DH89RG,54.83290,-1.87709
DH90HQ,54.87852,-1.68505
DH90NP,54.87169,-1.69665
DH90QN,54.87470,-1.66344
DH90TN,54.87235,-1.68361
DH90TW,54.87157,-1.69022
DH96AG,54.85690,-1.68488
DH96PH,54.85982,-1.69536
DH96PZ,54.86374,-1.69823
DH96QP,54.86452,-1.68376
DH96SQ,54.86990,-1.64377
DH97EZ,54.85718,-1.70334
DH97LR,54.86607,-1.71067
DH97ST,54.85753,-1.73545
DH97UY,54.85698,-1.73798
DH98AY,54.87719,-1.70681
DH98LX,54.86156,-1.74789
DH98PR,54.85912,-1.74728
DH99BB,54.87760,-1.75018
DH99DJ,54.87685,-1.76221
DH99LU,54.88239,-1.71763
DL104NF,54.40831,-1.73066
DL105ND,54.47113,-1.69755
DL106AQ,54.38798,-1.61426
DL106LJ,54.47473,-1.64369
DL106SF,54.44863,-1.65172
DL107BH,54.40857,-1.72117
DL107BQ,54.40652,-1.72490
DL107DA,54.40919,-1.71903
DL107DZ,54.40850,-1.71972
DL107JW,54.39347,-1.66263
DL107LB,54.38038,-1.63222
DL116LE,54.37924,-2.07781
DL116SP,54.38972,-1.94488
DL117AY,54.51348,-1.72733
DL117ET,54.46535,-1.78458
DL11EJ,54.52697,-1.52639
DL11LL,54.52910,-1.53399
DL11SG,54.52524,-1.54797
DL120TG,54.62222,-2.07697
DL128HH,54.55003,-1.91311
DL128JR,54.54247,-1.91992
DL128LG,54.54609,-1.90923
DL128TN,54.54851,-1.92125
DL129LG,54.51750,-2.01337
DL129QB,54.57110,-1.98168
DL12AN,54.54064,-1.52778
DL12HF,54.53909,-1.54869
DL12NG,54.53620,-1.54030
DL12ST,54.53367,-1.51862
DL131BN,54.75138,-2.22413
DL131QH,54.73790,-2.17949
DL132NU,54.75012,-2.01297
DL132SN,54.72511,-1.96713
DL133DJ,54.72972,-1.89562
DL133ET,54.73379,-1.88070
DL133QF,54.67447,-1.82494
DL134AU,54.74925,-1.81407
DL134LF,54.74182,-1.81446
DL135EN,54.61288,-1.81070
DL135PB,54.62627,-1.83266
DL135RF,54.63393,-1.88485
DL13ES,54.54651,-1.53727
DL13HT,54.54506,-1.52005
DL140BG,54.67811,-1.77282
DL140EP,54.66126,-1.73757
DL140JA,54.64831,-1.75051
DL146HW,54.65290,-1.67547
DL146JT,54.65185,-1.69400
DL146LA,54.65164,-1.69031
DL146LS,54.65286,-1.68722
DL146PX,54.64655,-1.68284
DL146QH,54.64926,-1.68765
DL146QW,54.64403,-1.68938
DL146RY,54.65070,-1.66805
DL147RB,54.66077,-1.68178
DL147RF,54.65939,-1.68367
DL147SR,54.65907,-1.71374
DL148DY,54.64894,-1.64982
DL148NN,54.66282,-1.62723
DL149EN,54.63576,-1.71040
DL149JJ,54.62891,-1.72650
DL149QZ,54.62029,-1.76436
DL149SD,54.62668,-1.76537
DL149UD,54.63045,-1.72220
DL14BH,54.51818,-1.53952
DL14NL,54.51990,-1.52581
DL14RW,54.51445,-1.52365
DL14UB,54.51619,-1.53277
DL150EQ,54.71028,-1.69434
DL150JX,54.68953,-1.70515
DL150LT,54.70545,-1.70762
DL150PB,54.71403,-1.69841
DL150QF,54.70701,-1.69118
DL150QH,54.70762,-1.68837
DL158HJ,54.69510,-1.75122
DL158QG,54.71322,-1.74821
DL159AN,54.73631,-1.73850
DL159DN,54.71681,-1.74145
DL159NN,54.71812,-1.75300
DL159SZ,54.72941,-1.75242
DL15AJ,54.51254,-1.55211
DL15PA,54.51840,-1.56181
DL166EX,54.70211,-1.58421
DL166PP,54.70010,-1.59092
DL166RA,54.70216,-1.60017
DL166SL,54.70653,-1.59124
DL166SQ,54.70548,-1.59455
DL166TJ,54.71637,-1.58811
DL167DA,54.69153,-1.61157
DL167DB,54.69134,-1.61122
DL167JB,54.67492,-1.59598
DL167LN,54.69481,-1.61405
DL167NA,54.69737,-1.60700
DL167PN,54.70207,-1.65781
DL167QW,54.69792,-1.61942
DL170DB,54.67491,-1.53120
DL170PT,54.65930,-1.55679
DL178AN,54.68740,-1.54690
DL178PP,54.68791,-1.56085
DL178QY,54.69013,-1.53943
DL178RW,54.68416,-1.57547
DL179AL,54.67635,-1.48835
DL179HP,54.70283,-1.52000
DL21LD,54.51341,-1.46972
DL22ET,54.48772,-1.52822
DL22GF,54.54673,-1.58814
DL22JG,54.48392,-1.54092
DL22LL,54.53474,-1.65480
DL22SP,54.48290,-1.56211
DL23DR,54.54516,-1.74099
DL23JE,54.57973,-1.73777
DL23JU,54.57705,-1.81197
DL23NL,54.58020,-1.79801
DL30HT,54.54820,-1.55417
DL30HZ,54.54615,-1.54898
DL30NS,54.54174,-1.55704
DL36AR,54.53203,-1.55712
DL36EX,54.53334,-1.56387
DL37HP,54.52082,-1.56280
DL37PY,54.52896,-1.56353
DL38AR,54.52132,-1.59436
DL38JA,54.52125,-1.57599
DL38NN,54.52448,-1.57597
DL38RW,54.52418,-1.58591
DL39BL,54.53183,-1.59192
DL39DE,54.53074,-1.59105
DL39EN,54.53572,-1.57962
DL39EX,54.53571,-1.58421
DL39HE,54.54022,-1.59401
DL39QG,54.52941,-1.58782
DL39SH,54.53764,-1.59827
DL41ES,54.63536,-1.65208
DL41HN,54.62701,-1.64938
DL42EQ,54.63275,-1.63957
DL54AX,54.62663,-1.56283
DL54EX,54.62126,-1.58085
DL55NP,54.62306,-1.56553
DL55NU,54.61760,-1.56991
DL55RH,54.62279,-1.55943
DL56AP,54.59603,-1.57755
DL56LG,54.59810,-1.56182
DL56PH,54.59689,-1.62088
DL57DD,54.61877,-1.58281
DL57DE,54.62161,-1.58730
DL57HB,54.62197,-1.59599
DL57LE,54.62506,-1.59698
DL57LF,54.62009,-1.60115
DL57LP,54.62561,-1.58911
DL61AE,54.33633,-1.42793
DL61ED,54.34568,-1.43280
DL61RB,54.34479,-1.42199
DL61SZ,54.34086,-1.43188
DL62AA,54.43568,-1.39919
DL62EQ,54.43334,-1.46498
DL62RE,54.36218,-1.42360
DL63BW,54.36772,-1.29978
DL70BD,54.42290,-1.52764
DL70HF,54.42963,-1.56556
DL78BL,54.32984,-1.44928
DL78QF,54.33819,-1.43796
DL78RG,54.33061,-1.43525
DL78UL,54.33028,-1.43670
DL79AU,54.30351,-1.55926
DL79HD,54.28200,-1.43135
DL79NQ,54.28943,-1.51344
DL79QR,54.32365,-1.49812
DL79QW,54.32347,-1.49631
DL81HP,54.30515,-1.62748
DL81QB,54.32675,-1.71128
DL82AT,54.28572,-1.59312
DL82EQ,54.28400,-1.59095
DL82HX,54.26024,-1.52922
DL82SD,54.28192,-1.60051
DL82TF,54.25391,-1.58808
DL83BJ,54.31307,-2.08802
DL83EL,54.30659,-2.10430
DL83RQ,54.30406,-2.20085
DL84QX,54.28533,-1.81212
DL85HY,54.31328,-1.82394
DL85PR,54.29675,-1.79194
DL85SD,54.31065,-1.82103
DL93BJ,54.38008,-1.72965
DL93HN,54.37700,-1.73833
DL94BB,54.37883,-1.71207
DL94BD,54.37828,-1.71494
DL94ED,54.37106,-1.70927
DL94LS,54.37987,-1.68988
DN104EH,53.43554,-0.84234
DN104LL,53.42531,-0.83971
DN104QN,53.40151,-0.82992
DN104QT,53.40749,-0.89615
DN105BJ,53.41297,-0.96289
DN105ED,53.39751,-0.96701
DN106EB,53.44679,-0.96276
DN106PU,53.43343,-1.01753
