postcode,lat,lon
B153JU,52.46365,-1.94416
B160EF,52.48413,-1.93465
B160HL,52.48448,-1.94393
B168HY,52.47345,-1.92830
B168RN,52.47777,-1.92235
B169ER,52.47699,-1.92968
B169GD,52.47696,-1.95557
B169SL,52.47556,-1.94104
B170BE,52.45428,-1.95860
B170DN,52.45687,-1.95305
B178BJ,52.47249,-1.96646
B178LE,52.47626,-1.95682
B178QB,52.46875,-1.96321
B178TR,52.46717,-1.97532
B179LU,52.45864,-1.95326
B179TS,52.45917,-1.96664
B184AH,52.48842,-1.94097
B184LP,52.49429,-1.94153
B184LX,52.49726,-1.94226
B185TD,52.49786,-1.92924
B186PU,52.48939,-1.91956
B187QW,52.48625,-1.93163
B191HJ,52.50535,-1.91068
B191PH,52.49761,-1.91395
B191RA,52.49926,-1.90969
B192EP,52.50059,-1.90029
B192LF,52.49569,-1.90740
B192NS,52.49697,-1.89941
B192QH,52.49461,-1.89752
B193QY,52.49036,-1.90320
B193XD,52.49247,-1.90111
B193XJ,52.49144,-1.89995
B201HL,52.52922,-1.94216
B201ND,52.52139,-1.93785
B202BL,52.50419,-1.92000
B202HL,52.51405,-1.92902
B202LB,52.52066,-1.92170
B202NY,52.51695,-1.92193
B202RW,52.51118,-1.91940
B203AA,52.51184,-1.89972
B203AE,52.50952,-1.90150
B203DP,52.51303,-1.89557
B203LP,52.51256,-1.90679
B203PN,52.51007,-1.90919
B203RT,52.50965,-1.91395
B210DP,52.50479,-1.95645
B210HN,52.50523,-1.94764
B210RE,52.50052,-1.93822
B210UX,52.50052,-1.92483
B218AH,52.50694,-1.94393
B218ED,52.51458,-1.94464
B218HH,52.51605,-1.95152
B218NH,52.50854,-1.94946
B219AR,52.50184,-1.92375
B219ET,52.50475,-1.93335
B219HB,52.50565,-1.93345
B219NT,52.50993,-1.93547
B219PY,52.51181,-1.93890
B219SN,52.50098,-1.92471
B235AJ,52.53686,-1.87001
B235JP,52.53257,-1.85845
B235NS,52.53343,-1.85258
B235XA,52.53119,-1.83093
B236AU,52.52250,-1.85101
B236DE,52.52179,-1.84823
B236PR,52.52636,-1.85109
B236QL,52.52877,-1.83557
B236TY,52.52686,-1.83910
B236UB,52.52762,-1.83836
B237AB,52.53275,-1.86351
B237AT,52.53379,-1.86971
B237EY,52.52441,-1.86368
B237HG,52.52455,-1.87090
B237HY,52.52500,-1.86887
B237JH,52.52308,-1.85922
B237NB,52.51629,-1.85116
B237PX,52.51406,-1.85774
B237YB,52.52041,-1.87113
B240ED,52.53025,-1.82380
B240JP,52.52312,-1.81680
B240RU,52.52117,-1.80724
B248BL,52.51685,-1.83880
B248JJ,52.51230,-1.84226
B248RE,52.51450,-1.83822
B249BY,52.52144,-1.83352
B249ND,52.51764,-1.82359
B249SR,52.51675,-1.82801
B258FD,52.46732,-1.81973
B258HQ,52.46144,-1.83313
B258QL,52.46943,-1.82622
B261AL,52.46197,-1.81117
B261EH,52.45461,-1.80905
B261LU,52.46162,-1.79362
B261LZ,52.46101,-1.79380
B261NS,52.45889,-1.79417
B261TD,52.46460,-1.81119
B262HX,52.46820,-1.78991
B262JL,52.46694,-1.79216
B262RZ,52.46750,-1.77917
B263HU,52.45556,-1.78350
B263XE,52.45971,-1.76832
B263YN,52.46236,-1.77917
B276BN,52.44759,-1.81992
B276JL,52.45322,-1.82049
B276LG,52.45220,-1.81787
B277BT,52.44047,-1.82003
B277HR,52.43374,-1.82275
B277QG,52.43939,-1.83258
B277UQ,52.44601,-1.82610
B277XY,52.44487,-1.82183
B280AA,52.43436,-1.85022
B280AR,52.43175,-1.84690
B280PB,52.41659,-1.84515
B288BB,52.44071,-1.84511
B288RY,52.43123,-1.83192
B289AJ,52.43122,-1.84477
B289JJ,52.42405,-1.83648
B289PP,52.42553,-1.83185
B294EE,52.42830,-1.97293
B294HE,52.42900,-1.97712
B294JT,52.42976,-1.96066
B295DY,52.43582,-1.96365
B295LB,52.43671,-1.96988
B295QB,52.43633,-1.96905
B295QD,52.43763,-1.96695
B295QU,52.44072,-1.96812
B295TG,52.44403,-1.97013
B296BP,52.44383,-1.93335
B296BW,52.44397,-1.93297
B296HZ,52.43509,-1.93827
B296NU,52.43895,-1.94376
B296PB,52.44022,-1.94213
B296QU,52.43615,-1.94840
B296TS,52.44577,-1.94818
B297PH,52.43810,-1.91990
B297PN,52.43886,-1.91787
B297TD,52.43678,-1.92694
B301DY,52.41715,-1.94157
B301HN,52.42094,-1.93667
B301HW,52.42071,-1.93526
B301JY,52.42956,-1.93668
B301LZ,52.42452,-1.94443
B301SH,52.42319,-1.95253
B301UL,52.42792,-1.94297
B302HT,52.41896,-1.92544
B302JL,52.42565,-1.92218
B303EU,52.40981,-1.92813
B303QA,52.41031,-1.90528
B303QJ,52.40981,-1.90962
B311BS,52.43195,-1.98326
B311BU,52.43105,-1.98260
B311LD,52.41960,-1.96967
B311PT,52.41661,-1.97308
B311TX,52.41873,-1.98441
B312DJ,52.41358,-1.96288
B312LQ,52.41128,-1.97270
B312SW,52.40353,-1.98089
B313EH,52.40714,-1.95014
B313HB,52.40180,-1.96202
B313PN,52.39394,-1.96032
B314BP,52.40019,-1.96893
B314BS,52.39787,-1.97165
B314RD,52.39450,-1.97239
B314ST,52.39013,-1.96902
B315AB,52.41144,-1.97620
B315QD,52.41187,-1.99171
B321AJ,52.46159,-2.00992
B321PJ,52.45551,-2.00190
B321RJ,52.45573,-2.00290
B322DL,52.45896,-1.98315
B322NG,52.45231,-1.97444
B322SA,52.45518,-1.98752
B323AE,52.44574,-1.98243
B323JS,52.43294,-2.00038
B323PN,52.43809,-2.00465
B323QD,52.43662,-2.00015
B323QJ,52.43636,-1.99796
B323SE,52.44435,-1.99148
B324BT,52.43210,-1.99931
B324DL,52.43116,-2.00965
